# https://www.go-astronomy.com/herschel-objects.htm, open with lib.stars.catalog.Herschel400.java
# Herschel,NGC Number,Type,Common,Constellation
H1,NGC 40,PLANETARY NEBULA,Bow-Tie Nebula,Cepheus
H2,NGC 129,OPEN STAR CLUSTER,,Cassiopeia
H3,NGC 136,OPEN STAR CLUSTER,,Cassiopeia
H4,NGC 157,GALAXY,,Cetus
H5,NGC 185,GALAXY,,Cassiopeia
H6,NGC 205,GALAXY,,Andromeda
H7,NGC 225,OPEN STAR CLUSTER,,Cassiopeia
H8,NGC 246,PLANETARY NEBULA,,Cetus
H9,NGC 247,GALAXY,,Cetus
H10,NGC 253,GALAXY,Sculptor Galaxy,Sculptor
H11,NGC 278,GALAXY,,Cassiopeia
H12,NGC 288,GLOBULAR CLUSTER,,Sculptor
H13,NGC 381,OPEN STAR CLUSTER,,Cassiopeia
H14,NGC 404,GALAXY,,Andromeda
H15,NGC 436,OPEN STAR CLUSTER,,Cassiopeia
H16,NGC 457,OPEN STAR CLUSTER,Owl Cluster,Cassiopeia
H17,NGC 488,GALAXY,,Pisces
H18,NGC 524,GALAXY,,Pisces
H19,NGC 559,OPEN STAR CLUSTER,,Cassiopeia
H20,NGC 584,GALAXY,,Cetus
H21,NGC 596,GALAXY,,Cetus
H22,NGC 598,GALAXY,Triangulum Galaxy,Triangulum
H23,NGC 613,GALAXY,,Sculptor
H24,NGC 615,GALAXY,,Cetus
H25,NGC 637,OPEN STAR CLUSTER,,Cassiopeia
H26,NGC 651,PLANETARY NEBULA,Little Dumbbell Nebula,Perseus
H27,NGC 654,OPEN STAR CLUSTER,,Cassiopeia
H28,NGC 659,OPEN STAR CLUSTER,,Cassiopeia
H29,NGC 663,OPEN STAR CLUSTER,,Cassiopeia
H30,NGC 720,GALAXY,,Cetus
H31,NGC 752,OPEN STAR CLUSTER,,Andromeda
H32,NGC 772,GALAXY,,Aries
H33,NGC 779,GALAXY,,Cetus
H34,NGC 869,OPEN STAR CLUSTER,,Perseus
H35,NGC 884,OPEN STAR CLUSTER,,Perseus
H36,NGC 891,GALAXY,,Andromeda
H37,NGC 908,GALAXY,,Cetus
H38,NGC 936,GALAXY,,Cetus
H39,NGC 1022,GALAXY,,Cetus
H40,NGC 1023,GALAXY,,Perseus
H41,NGC 1027,OPEN STAR CLUSTER,,Cassiopeia
H42,NGC 1052,GALAXY,,Cetus
H43,NGC 1055,GALAXY,,Cetus
H44,NGC 1084,GALAXY,,Eridanus
H45,NGC 1245,OPEN STAR CLUSTER,,Perseus
H46,NGC 1342,OPEN STAR CLUSTER,,Perseus
H47,NGC 1407,GALAXY,,Eridanus
H48,NGC 1444,OPEN STAR CLUSTER,,Perseus
H49,NGC 1501,PLANETARY NEBULA,,Camelopardalis
H50,NGC 1502,OPEN STAR CLUSTER,,Camelopardalis
H51,NGC 1513,OPEN STAR CLUSTER,,Perseus
H52,NGC 1528,OPEN STAR CLUSTER,,Perseus
H53,NGC 1535,PLANETARY NEBULA,,Eridanus
H54,NGC 1545,OPEN STAR CLUSTER,,Perseus
H55,NGC 1647,OPEN STAR CLUSTER,,Taurus
H56,NGC 1664,OPEN STAR CLUSTER,,Auriga
H57,NGC 1788,REFLECTION NEBULA,,Orion
H58,NGC 1817,OPEN STAR CLUSTER,,Taurus
H59,NGC 1857,OPEN STAR CLUSTER,,Auriga
H60,NGC 1907,OPEN STAR CLUSTER,,Auriga
H61,NGC 1931,OPEN STAR CLUSTER,,Auriga
H62,NGC 1961,GALAXY,,Camelopardalis
