# Retrieved from https://en.wikipedia.org/wiki/Herschel-400-Catalogue, open with lib.stars.catalog.HerschelCatalog.java

# Column - Description
# A - Herschel number
# B - Messier or Caldwell number
# C - NGC or IC number
# D - Common name
# E - Type of object
# F - Distance in kilo light years (kly)
# G - Constellation
# H - Apparent visual magnitude
# I - Additional Messier or Caldwell number
# J - Additional NGC or IC number
# K - Additional common name

1,C2,NGC 40,Bow-Tie Nebula,Planetary Nebula,3.5,Cepheus,11,,,
2,,NGC 129,,Open Cluster,6,Cassiopeia,6.5,,,
3,,NGC 136,,Open Cluster,18.6,Cassiopeia,11,,,
4,,NGC 157,,Galaxy,75000,Cetus,10.4,,,
5,C18,NGC 185,,Galaxy,2300,Cassiopeia,9.2,,,
6,M110,NGC 205,,Galaxy,2200,Andromeda,8,,,
7,,NGC 225,,Open Cluster,2.1,Cassiopeia,7,,,
8,C56,NGC 246,Skull Nebula,Planetary Nebula,1.6,Cetus,8,,,
9,C62,NGC 247,,Galaxy,6800,Cetus,8.9,,,
10,C65,NGC 253,Sculptor Galaxy,Galaxy,9800,Sculptor,7.1,,,Silver Coin Galaxy
11,,NGC 278,,Galaxy,38500,Cassiopeia,10.9,,,
12,,NGC 288,,Globular Cluster,28.7,Sculptor,8.1,,,
13,,NGC 381,,Open Cluster,3.8,Cassiopeia,9,,,
14,,NGC 404,,Galaxy,10000,Andromeda,10.1,,,
15,,NGC 436,,Open Cluster,13,Cassiopeia,8.8,,,
16,C13,NGC 457,ET Cluster,Open Cluster,9,Cassiopeia,6.4,,,Owl Cluster
17,,NGC 488,,Galaxy,90000,Pisces,10.3,,,
18,,NGC 524,,Galaxy,90000,Pisces,10.6,,,
19,C8,NGC 559,,Open Cluster,3.7,Cassiopeia,9.5,,,
20,,NGC 584,,Galaxy,60000,Cetus,10.4,,,
21,,NGC 596,,Galaxy,65000,Cetus,10.9,,,
22,M33,NGC 598,Triangulum Galaxy,Galaxy,2590,Triangulum,5.7,,,
23,,NGC 613,,Galaxy,67000,Sculptor,10,,,
24,,NGC 615,,Galaxy,70000,Cetus,11.5,,,
25,,NGC 637,,Open Cluster,7,Cassiopeia,8.2,,,
26,M76,NGC 650,Little Dumbbell Nebula,Planetary Nebula,3.4,Perseus,12,,NGC 651,Cork Nebula
27,,NGC 654,,Open Cluster,7.8,Cassiopeia,6.5,,,
28,,NGC 659,,Open Cluster,8.2,Cassiopeia,7.9,,,
29,C10,NGC 663,,Open Cluster,7.2,Cassiopeia,7.1,,,
30,,NGC 720,,Galaxy,80000,Cetus,10.2,,,
31,C28,NGC 752,,Open Cluster,1,Andromeda,5.7,,,
32,,NGC 772,,Galaxy,130000,Aries,10.3,,,
33,,NGC 779,,Galaxy,59000,Cetus,11,,,
34,C14,NGC 869,H Persei of Double Cluster,Open Cluster,7.3,Perseus,4,,,
35,C14,NGC 884,Chi Persei of Double Cluster,Open Cluster,7.4,Perseus,4,,,
36,C23,NGC 891,,Galaxy,31000,Andromeda,10,,,
37,,NGC 908,,Galaxy,56000,Cetus,10.2,,,
38,,NGC 936,,Galaxy,60000,Cetus,10.1,,,
39,,NGC 1022,,Galaxy,65000,Cetus,11.4,,,
40,,NGC 1023,,Galaxy,30000,Perseus,9.5,,,
41,,NGC 1027,,Open Cluster,3.1,Cassiopeia,6.7,,,
42,,NGC 1052,,Galaxy,63000,Cetus,10.6,,,
43,,NGC 1055,,Galaxy,52000,Cetus,10.6,,,
44,,NGC 1084,,Galaxy,65000,Eridanus,10.6,,,
45,,NGC 1245,,Open Cluster,9.8,Perseus,8.4,,,
46,,NGC 1342,,Open Cluster,2.2,Perseus,6.7,,,
47,,NGC 1407,,Galaxy,75000,Eridanus,9.8,,,
48,,NGC 1444,,Open Cluster,3.8,Perseus,6.6,,,
49,,NGC 1501,Oyster Nebula,Planetary Nebula,5.8,Camelopardalis,13,,,
50,,NGC 1502,,Open Cluster,2.7,Camelopardalis,5.7,,,
51,,NGC 1513,,Open Cluster,4.9,Perseus,8.4,,,
52,,NGC 1528,,Open Cluster,2.5,Perseus,6.4,,,
53,,NGC 1535,,Planetary Nebula,6.5,Eridanus,10,,,
54,,NGC 1545,,Open Cluster,2.3,Perseus,6.2,,,
55,,NGC 1647,,Open Cluster,1.8,Taurus,6.4,,,
56,,NGC 1664,,Open Cluster,3.9,Auriga,7.6,,,
57,,NGC 1788,,Nebula,1.3,Orion,9,,,
58,,NGC 1817,,Open Cluster,6.4,Taurus,7.7,,,
59,,NGC 1857,,Open Cluster,4.5,Auriga,7,,,
