https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|NGC 2573|01 42.0|-89 20| 13.5  |            |                  |  3.6       |Gx         |302.77|-27.78|C           |Oct          |F, S, R, glbM, Polarissima Australis                 |                                             GALAXY|
|NGC 6438|18 26.0|-85 25| 13.0  |p           |                  |  2.6       |Gx         |308.02|-26.53|S           |Oct          |pB, R, vgbM                                          |                                             GALAXY|
|IC 4333 |14 05.0|-84 16|       |            |                  |  1.7       |Gx         |304.88|-21.67|C           |Oct          |eF, vS, eE 40deg , susp                              |                                             GALAXY|
|NGC 1841|04 45.0|-84 00| 12.0  |p           |                  |            |Gb         |297.02|-30.15|R           |Men          |pF, L, iR, vsbM, r                                   |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|IC 2051 |03 52.0|-83 50|       |            |                  |  2.6       |Gx         |297.81|-31.38|C           |Men          |! vF, vS, stell N ellipt ring                        |                                             GALAXY|
|IC 4499 |15 00.3|-82 13| 10.6  |            |                  |  7.6       |Gb         |307.35|-20.48|S           |Aps          |Cl, vF, 4' diam; 3 F st in neb?                      |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 2144|05 41.0|-82 07|       |            |                  |  1.6       |Gx         |294.31|-29.25|C           |Men          |F, pS, iR, bM                                        |                                             GALAXY|
|NGC 7637|23 26.5|-81 55|       |            |                  |  2.5       |Gx         |306.48|-34.62|C           |Oct          |vF, pL, R, vlbM, * nr                                |                                             GALAXY|
|IC 4545 |15 41.5|-81 38|       |            |                  |  2.0       |Gx         |308.97|-20.84|C           |Aps          |eeF, eS, mE 145deg , bet 2 vF st, susp               |                                             GALAXY|
|NGC 3195|10 09.5|-80 52|       |            |                  |  0.6       |Pl         |296.63|-20.04|S           |Cha          |! PN , pB, S, lE, 13s  d, 3 S st nr                  |                                   PLANETARY NEBULA|
|NGC 3149|10 03.8|-80 25|       |            |                  |  2.1       |Gx         |296.14|-19.84|C           |Cha          |F, S, lE, vlbM, *15 inv                              |                                             GALAXY|
|IC 4647 |17 26.0|-80 12|       |            |                  |  1.7       |Gx         |312.86|-23.21|C           |Aps          |bM                                                   |                                             GALAXY|
|IC 4641 |17 24.2|-80 09|       |            |                  |  1.6       |Gx         |312.88|-23.12|C           |Aps          |eF, vS, bM                                           |                                             GALAXY|
|IC 4640 |17 23.9|-80 04|       |            |                  |  1.5       |Gx         |312.95|-23.07|C           |Aps          |vF, eS, cbM                                          |                                             GALAXY|
|NGC 6920|20 43.9|-80 00|       |            |                  |  1.8       |Gx         |313.28|-31.46|C           |Oct          |pB, cS, R, psmbM                                     |                                             GALAXY|
|NGC 2012|05 22.6|-79 51|       |            |                  |  1.5       |Gx         |292.01|-30.54|C           |Men          |vF, S, lE, bM, 2 st 9 nf                             |                                             GALAXY|
|IC 3104 |12 18.8|-79 44|       |            |                  |  4.7       |Gx         |301.42|-16.96|C           |Cha          |eeF, cS, or vS Cl, *12 sp 0'.5                       |                                             GALAXY|
|IC 2884 |11 27.7|-79 44|       |            |                  |            |U          |299.10|-17.49|D           |Cha          |eeF, eS, cE 145deg , susp                            |                                       UNIDENTIFIED|
|IC 4448 |14 40.5|-78 49|       |            |                  |  1.0       |Gx         |308.27|-17.09|C           |Aps          |!! F, vS, annul, * in M                              |                                             GALAXY|
|NGC 5612|14 34.1|-78 24| 13.0  |p           |                  |  2.0       |Gx         |308.15|-16.58|S           |Aps          |vF, E, gbM, r                                        |                                             GALAXY|
|IC 2054 |04 07.2|-78 15|       |            |                  |            |U          |292.20|-34.44|D           |Men          |eeF, eS, vF* 1' nf, susp                             |                                       UNIDENTIFIED|
|IC 4555 |15 48.3|-78 11|       |            |                  |  1.9       |Gx         |311.59|-18.40|C           |Aps          |vF, vS, eE 55deg , bM                                |                                             GALAXY|
|IC 5026 |20 48.5|-78 04|       |            |                  |  2.5       |Gx         |315.27|-32.42|C           |Oct          |eF, vS, mE 70deg , lbM, susp                         |                                             GALAXY|
|IC 2142 |05 33.1|-78 00|       |            |                  |            |U          |289.79|-30.53|D           |Men          |eF, vS, lE 25deg , lbM                               |                                       UNIDENTIFIED|
|NGC 1956|05 19.7|-77 45|       |            |                  |            |Gx         |289.72|-31.28|R           |Men          |vF, hazy * inv in neb                                |                                             GALAXY|
|IC 4631 |17 11.0|-77 36|       |            |                  |            |U          |314.98|-21.36|D           |Aps          |eF, eeS, ann?, susp                                  |                                       UNIDENTIFIED|
|IC 4864 |19 40.1|-77 33|       |            |                  |  1.6       |Gx         |316.88|-29.06|C           |Oct          |eF, vS, eE 70deg , vF* sp 1'                         |                                             GALAXY|
