C85,IC 2391,Omicron Velorum Cluster,Open Cluster
C102,IC 2602,Theta Car Cluster,Open Cluster
C100,IC 2944,Lambda Centauri Nebula,Open Cluster and Nebula
C5,IC 342,Hidden Galaxy,Spiral Galaxy
C31,IC 405,Flaming Star Nebula,Nebula
M24,IC 4715,Small Sagittarius Star Cloud,Milky Way star cloud
C19,IC 5146,Cocoon Nebula,Open Cluster and Nebula
C41,Mel 25,Hyades,Open Cluster
M32,NGC 221,Andromeda Satellite #1,Dwarf elliptical galaxy
M31,NGC 224,Andromeda Galaxy,Spiral galaxy
M33,NGC 598,Triangulum/Pinwheel Galaxy,Spiral galaxy
M74,NGC 628,Phantom Galaxy,Spiral galaxy
M76,NGC 650,Little Dumbbell Nebula,Planetary nebula
M34,NGC 1039,Spiral Cluster,Open cluster
C106,NGC 104,47 Tucanae,Globular Cluster
M77,NGC 1068,Cetus A or Squid Galaxy,Spiral galaxy
C24,NGC 1275,Perseus A,Supergiant Elliptical Galaxy
H53-IV,NGC 1501,Oyster Nebula,Planetary Nebula
C1,NGC 188,Polarissima Cluster,Open Cluster
M38,NGC 1912,Starfish Cluster,Open cluster
M1,NGC 1952,Crab Nebula,Supernova remnant
M36,NGC 1960,Pinwheel Cluster,Open cluster
M42,NGC 1976,Great Orion Nebula,H II region nebula
M43,NGC 1982,De Mairan's Nebula,H II region nebula
H28-V,NGC 2024,Flame Nebula,Nebula
M78,NGC 2068,Casper the Friendly Ghost Nebula,Diffuse nebula
C103,NGC 2070,Tarantula Nebula,Open Cluster and Nebula
M37,NGC 2099,Salt and Pepper Cluster,Open cluster
M35,NGC 2168,Shoe-Buckle Cluster,Open cluster
H24-VIII,NGC 2169,37 Cluster,Open Cluster
C49,NGC 2237,Rosette Nebula,Nebula
C50,NGC 2244,Satellite Cluster,Open Cluster
C46,NGC 2261,Hubble's Variable Nebula,Nebula
H27-V,NGC 2264,Christmas Tree Cluster and Cone Nebula,Open Cluster and Nebula
M41,NGC 2287,Little Beehive Cluster,Open cluster
M50,NGC 2323,Heart-Shaped Cluster,Open cluster
C58,NGC 2360,Caroline's Cluster,Open Cluster
C64,NGC 2362,Tau Canis Majoris Cluster,Open Cluster and Nebula
C39,NGC 2392,Eskimo Nebula,Planetary Nebula
C39,NGC 2392,Clown Face Nebula,Planetary Nebula
M93,NGC 2447,Critter Cluster,Open cluster
C56,NGC 246,Skull Nebula,Planetary Nebula
C96,NGC 2516,Southern Beehive Cluster,Open Cluster
C65,NGC 253,Sculptor Galaxy,Spiral Galaxy
C65,NGC 253,Silver Coin Galaxy,Galaxy
M44,NGC 2632,Beehive Cluster or Praesepe,Open cluster
M67,NGC 2682,King Cobra Cluster,Open cluster
C70,NGC 300,Sculptor Pinwheel Galaxy,Spiral Galaxy
M81,NGC 3031,Bode's Galaxy,Spiral galaxy
M82,NGC 3034,Cigar Galaxy,Starburst galaxy
C53,NGC 3115,Spindle Galaxy,Lenticular Galaxy
C74,NGC 3132,Eight Burst Nebula,Planetary Nebula
C59,NGC 3242,Ghost of Jupiter,Planetary Nebula
C92,NGC 3372,Eta Carinae Nebula,Nebula
C91,NGC 3532,Wishing Well Cluster,Open Cluster
