Webb Society Deep-Sky Observer's Handbook, Volume 2, Planetary and Gaseous Nebulae
A Catalogue of Gaseous Nebulae, 81 - 161, pg 100 - 124

WS   : Webb Society Catalog Index
Cat  : Catalog identifier, e.g., NGC or IC
RA   : Right Ascension
Dec  : Declination
m(s) : 
AD   : Apparent diameter in seconds of arc
Type :
Con  : Constellation

|WS  |Cat     |RA     |Dec   |m(s)  |AD     |Type    |Con|
|  81|NGC 281 |00 51.7|+56 29| 7.9  | 25x20 |E       |Cas|
|  82|NGC 1333|03 27.6|+31 17|10.8  |  9x5  |E/R     |Per|
|  83|NGC 1432|03 44.9|+23 53|      | 30x20 |R       |Tau|
|  83|NGC 1435|03 44.9|+23 53|      | 30x20 |R       |Tau|
|  83|IC 349  |03 44.9|+23 53|      | 30x20 |R       |Tau|
|  84|NGC 1491|04 01.4|+51 14|11.0  |  3    |E       |Per|
|  85|        |04 05.0|+27 32| 5.3  |       |        |Tau|
|  86|NGC 1554|04 20.4|+19 28|      |  5    |R       |Tau|
|  86|NGC 1555|04 20.4|+19 28|      |  5    |R       |Tau|
|  87|NGC 1579|04 28.5|+35 13|17    | 12x8  |R       |Per|
|  88|NGC 1624|04 38.4|+50 24|      |  5    |E       |Per|
|  89|NGC 1788|05 05.8|-03 22|10.0  |  8x5  |E/R     |Ori|
|  90|IC 410  |05 22.1|+33 29|      | 20    |E       |Aur|
|  91|IC 417  |05 27.5|+34 22|      | 20    |E       |Aur|
|  92|NGC 1931|05 29.8|+34 14|      |  4    |E       |Aur|
|  93|NGC 1952|05 33.0|+22 00|15    |  6x4  |SNR     |Tau|
|  93|M1      |05 33.0|+22 00|15    |  6x4  |SNR     |Tau|
|  94|NGC 1973|05 34.0|-04 47| 4.7  | 40x25 |E       |Ori|
|  94|NGC 1975|05 34.0|-04 47| 4.7  | 40x25 |E       |Ori|
|  94|NGC 1977|05 34.0|-04 47| 4.7  | 40x25 |E       |Ori|
|  95|NGC 1976|05 34.0|-05 24|      |600    |E       |Ori|
|  96|NGC 1980|05 34.2|-05 55| 2.9  | 14    |E       |Ori|
|  97|NGC 1982|05 34.3|-05 17| 9.1  |  5    |E       |Ori|
|  97|M43     |05 34.3|-05 17| 9.1  |  5    |E       |Ori|
|  98|NGC 1990|05 36.0|-01 13| 1.8  | 30    |E/R     |Ori|
|  99|NGC 1999|05 35.3|-06 44| 9.5  | 12    |E/R     |Ori|
| 100|NGC 1985|05 36.1|+31 59|13    |  1    |E       |Aur|
| 101|IC 431  |05 39.0|-01 28| 7.8  |  5x3  |R       |Ori|
| 102|IC 432  |05 39.8|-01 30| 7.1  |  6x4  |R       |Ori|
| 103|IC 434  |05 39.9|-02 51| 1.9  | 60x10 |E       |Ori|
| 104|NGC 2023|05 40.5|-02 14| 7.8  | 10    |E/R     |Ori|
| 105|NGC 2024|05 40.8|-01 51|      | 30    |E       |Ori|
| 106|IC 435  |05 41.8|-02 19| 8.2  |  3    |R       |Ori|
| 107|NGC 2067|05 45.5|+00 17|10.3  |  6x3  |R       |Ori|
| 107|NGC 2068|05 45.5|+00 17|10.3  |  6x3  |R       |Ori|
| 107|M78     |05 45.5|+00 17|10.3  |  6x3  |R       |Ori|
| 108|NGC 2071|05 45.9|+00 17|10.4  |  3    |R       |Ori|
| 109|NGC 2149|06 02.3|-09 44|      |  3    |R       |Mon|
| 110|Ced 62  |06 06.3|+18 42|13    |  2x1  |R       |Ori|
| 111|NGC 2170|06 06.4|-06 23|10.2  |  2    |R       |Mon|
| 112|Ced 66  |06 06.9|-08 18| 9.1  |       |R       |Mon|
| 113|NGC 2174|06 08.2|+20 34| 7.4  | 30x25 |E       |Ori|
| 113|NGC 2175|06 08.2|+20 34| 7.4  | 30x25 |E       |Ori|
| 114|NGC 2182|06 08.3|-06 19| 9.1  |  3    |R       |Mon|
| 115|NGC 2183|06 09.6|-06 12|13.5  |  1.5  |R       |Mon|
| 116|NGC 2185|06 09.9|-06 12|12.5  |  2    |R       |Mon|
| 117|NGC 2237|06 29.7|+04 54|      | 60    |E       |Mon|
| 117|NGC 2238|06 29.7|+04 54|      | 60    |E       |Mon|
| 117|NGC 2239|06 29.7|+04 54|      | 60    |E       |Mon|
| 117|NGC 2246|06 29.7|+04 54|      | 60    |E       |Mon|
| 118|NGC 2245|06 31.3|+10 11|10.8  |  5x3  |R       |Mon|
| 119|NGC 2247|06 31.7|+10 22| 8.5  |  4x3  |R       |Mon|
| 120|NGC 2261|06 37.8|+08 45|      |  5x3  |R       |Mon|
| 121|NGC 2264|06 39.6|+09 47|      | 50x20 |E       |Mon|
| 122|NGC 2316|06 58.5|-07 04|      |  4x3  |R/E     |Mon|
| 123|NGC 2327|07 03.1|-11 16|10.0  | 20    |R       |CMa|
| 124|IC 466  |07 05.6|-04 17|11.5  |  1.0  |E       |Mon|
| 125|NGC 2359|07 16.6|-13 09|      |  8x6  |E       |CMa|
| 126|VY CMa  |07 21.9|-25 43|      |0.3x0.2|R       |CMa|
| 127|NGC 2467|07 52.3|-26 20| 8.5  |  4    |E       |Pup|
| 128|IC 4592 |16 10.6|-19 24| 4.3  |160x45 |R       |Sco|
| 129|IC 4601 |16 17.4|-20 10| 7.0  | 20x10 |R       |Sco|
| 130|NGC 6302|17 12.2|-37 05|16.0  |  4x1.5|E       |Sco|
| 131|NGC 6514|18 00.4|-23 02| 6.9  | 30x25 |E+R     |Sgr|
| 131|M20     |18 00.4|-23 02| 6.9  | 30x25 |E+R     |Sgr|
| 132|NGC 6523|18 02.3|-24 22| 5.9  | 55x35 |E       |Sgr|
| 132|M8      |18 02.3|-24 22| 5.9  | 55x35 |E       |Sgr|
| 133|NGC 6559|18 08.3|-24 08| 9.8  |  8x5  |E       |Sgr|
| 134|NGC 6589|18 14.9|-19 48| 9.5  |  5x3  |R       |Sgr|
| 135|NGC 6590|18 15.0|-19 53|10.0  |  3x2  |R       |Sgr|
| 136|NGC 6611|18 17.6|-13 47|      | 35x30 |E       |Sgr|
| 136|M16     |18 17.6|-13 47|      | 35x30 |E       |Sgr|
| 137|NGC 6618|18 19.4|-16 11|      | 50x40 |E       |Sgr|
| 137|M17     |18 19.4|-16 11|      | 50x40 |E       |Sgr|
| 138|IC 1287 |18 30.1|-10 49| 5.8  | 45x35 |R       |Sct|
| 139|Sh 61   |18 31.6|-05 02|13.0  |  2    |R       |Sct|
| 140|M1-92   |19 35.3|+29 29|20.0  |0.2x0.1|R       |Cyg|
| 141|NGC 6813|19 39.2|+27 14|      |  3    |E       |Sge|
| 142|NGC 6823|19 42.2|+23 15|      | 40x30 |E       |Vul|
| 143|NGC 6888|20 21.6|+38 21| 7.4  | 18x8  |E       |Cyg|
| 144|        |20 22.2|+40 42|      | 80x50 |E       |Cyg|
