Webb Society Deep-Sky Observer's Handbook, Volume 2, Planetary and Gaseous Nebulae
A Catalogue of Planetary Nebulae, 1 - 80, pg 54 - 92

WS   : Webb Society Catalog Index
Cat  : Catalog identifier, e.g., NGC or IC
RA   : Right Ascension
Dec  : Declination
m(n) : Apparent magnitude
m(s) : 
AD   : Apparent diameter in seconds of arc
Type :
r    : 
Star :
RV   :
Con  : Constellation

00000|00001111|1111122|222222|3333|33|3344|44|4444555|55555566|66666|67777777|778888|888|
01234|67890123|5678901|345678|0123|56|8901|34|6789012|45678901|34567|90123456|890123|567|
|WS  |Cat     |RA     |Dec   |m(n)   |m(s)   |AD     |Type    |r    |Star    |RV    |Con|
|   1|NGC 40  |00 17.1|+72 23|10.7   |11.6pvi| 60x38 |IIIb    | 1.17|WC8     | -20.5|Cep|
|   2|NGC 246 |00 45.9|-12 17| 8.0   |10.5   |240x210|IIIa    | 0.74|O7+dG/dF| -43  |Cet|
|   3|NGC 650 |01 40.3|+51 26| 9.4v  |16.6   |157x87 |V       | 0.60|C       |+123.6|Per|
|   3|NGC 651 |01 40.3|+51 26| 9.4v  |16.6   |157x87 |V       | 0.60|C       |+123.6|Per|
|   3|M76     |01 40.3|+51 26| 9.4v  |16.6   |157x87 |V       | 0.60|C       |+123.6|Per|
|   4|IC 1747 |01 55.6|+63 12|13.0   |15.0   | 13    |IIIb    | 2.11|WC      | -62.7|Cas|
|   5|IC 289  |03 08.3|+61 14|12.3   |15.0   | 45x30 |IV      | 1.84|C       | -28  |Cas|
|   6|IC 351  |03 45.9|+34 58|12.4   |15.0   |  8x6  |IIa     | 5.01|C       | -10.3|Per|
|   7|IC 2003 |03 54.8|+33 48|12.6   |17.8   |  6    |II      | 4.66|C       | -23.3|Per|
|   8|NGC 1501|04 04.8|+60 51|10.0v  |12.0   | 56x48 |III     | 1.30|WC6     | +36.9|Cam|
|   9|NGC 1514|04 07.7|+30 42| 9.0   | 9.0v  |120x90 |V       | 0.83|O8/B9   | +36.9|Tau|
|  10|M2-2    |04 11.2|+56 33| 8.5SBr|       | 12x11 |III     |     |        |  -7  |Cam|
|  11|NGC 1535|04 13.1|-12 48| 9.6   |10.0   | 20x17 |IV+VI   | 2.14|C       |  -1.4|Eri|
|  12|J 320   |05 04.1|+10 41|12.9   |13.5   | 11x8  |II+IV   | 5.45|WN      | -23.4|Ori|
|  13|IC 418  |05 26.6|-12 46|12.0   | 9.0   | 14x11 |IV      | 1.71|O7      | +62.5|Lep|
|  14|NGC 2022|05 40.7|+09 04|12.3v  |13.0   | 28x27 |IV+II   | 2.20|C       | +14.2|Ori|
|  15|IC 2149 |05 54.5|+46 07| 9.9   |10.2v  | 15x10 |IIIb+II | 2.66|O7      | -32.5|Aur|
|  16|IC 2165 |06 20.8|-12 58|12.5   |       |  9x7  |IIIb    | 3.87|        | +55.3|CMa|
