#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-06T11:26:00 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-06T11:26:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=B/vsx/vsx&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#RESOURCE=yCat_102027
#Name: B/vsx
#Title: AAVSO International Variable Star Index VSX (Watson+, 2006-)
#INFO	ivoid=ivo://cds.vizier/b/vsx	    IVOID of underlying data collection
#INFO	creator=Watson C.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/B/vsx	    Dataset landing page
#INFO	publication_date=2025-08-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	B_vsx_vsx:
#Name: B/vsx/vsx
#Title: Variable Star indeX, Version 2025-08-24
#Column	OID	(I8)	Internal identifier, can be used to link out to the VSX database (1)	[ucd=meta.id]
#Column	n_OID	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Name	(a30)	Variable star identifier	[ucd=meta.id;meta.main]
#Column	V	(I1)	Variability flag (2) (VarFlag)	[ucd=meta.note]
#Column	Type	(a30)	? Variability type, ariability type, as in GCVS catalog Variability type (see details of VSX type list)	[ucd=meta.id]
#Column	l_max	(A1)	? Limit flag on max (LimitFlagOnMax)	[ucd=meta.code.error]
#Column	max	(F7.3)	[-6.0/25.2]? Magnitude at maximum, or amplitude (MagMax)	[ucd=phot.mag]
#Column	u_max	(A1)	? Uncertainty flag on max (MaxUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_max	(a7)	? Passband on max magnitude (4) (MaxPassband)	[ucd=meta.note]
#Column	f_min	(A1)	? Flag to indicate an amplitude (MinIsAmplitude)	[ucd=meta.code]
#Column	l_min	(A1)	? Limit flag on min (LimitFlagOnMin)	[ucd=meta.code.error]
#Column	min	(F7.3)	[-0.02/28.0]? Magnitude at minimum, or amplitude (MagMin)	[ucd=phot.mag]
#Column	u_min	(A1)	? Uncertainty flag on min (MinUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_min	(a8)	? Passband on min magnitude (MinPassband)	[ucd=meta.note]
#Column	Epoch	(F14.5)	? Epoch of maximum or minimum (HJD)	[ucd=time.epoch]
#Column	u_Epoch	(A1)	? Uncertainty flag on epoch (EpochUncertaintyFlag)	[ucd=meta.code.error;time.epoch]
#Column	l_Period	(A1)	? Limit flag on period (3) (LimitFlagOnPeriod)	[ucd=meta.code.error;time.period]
#Column	Period	(F19.12)	[0.0/27400.0]? Period of the variable in days	[ucd=time.period]
#Column	u_Period	(A1)	? Uncertainty flag on Period (3) (PeriodUncertaintyFlag)	[ucd=meta.code.error;time.period]
#Column	Sp	(a29)	? Spectral type (SpectralType)	[ucd=src.spType]
#Column	RAJ2000	(F9.5)	[0.0/360.0] Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-89.93/89.91] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
OID|n_OID|Name|V|Type|l_max|max|u_max|n_max|f_min|l_min|min|u_min|n_min|Epoch|u_Epoch|l_Period|Period|u_Period|Sp|RAJ2000|DEJ2000
 | | | | | |mag| | | | |mag| | |d| | |d| | |deg|deg
--------|-|------------------------------|-|------------------------------|-|-------|-|-------|-|-|-------|-|--------|--------------|-|-|-------------------|-|-----------------------------|---------|---------
   25131|B|Z Peg                         |0|M                             | |  7.300| |V      | | | 13.600| |V       | 2453618.00000| | |   320.000000000000| |M6e-M8.5e(Tc)                |000.02733|+25.88647
 2535651| |Gaia DR3 387263083524736000   |0|L                             | |  8.210| |G      | | |  8.510| |G       |              | | |                   | |M                            |000.05972|+47.42420
 2535705| |Gaia DR3 537429601345896832   |0|DSCT|GDOR|SXPHE               | |  9.080| |G      | | |  9.110| |G       |              | | |     1.517350000000| |A                            |000.06656|+72.40092
   64627|B|NSV 26192                     |1|VAR:                          | |  8.640| |V      | | |       | |        |              | | |                   | |M5III                        |000.07583|+60.35028
  305036|B|HIP 38                        |0|VAR                           | |  8.650| |V      |Y| |  0.012| |V       |              | | |     1.412690000000| |G6V                          |000.11310|-79.06200
   26235|B|SW Phe                        |0|EA/SD                         | | 10.000| |pg     | | | 11.800| |pg      | 2428423.45000| | |     2.553100000000| |A5                           |000.12508|-39.62478
   64628|B|NSV 26193                     |1|VAR:                          | |  6.190| |V      | | |       | |        |              | | |                   | |G9III/IV                     |000.12875|+59.55972
 2536308| |Gaia DR3 2880166693166343296  |0|ROT                           | |  8.960| |G      | | |  9.000| |G       |              | | |                   | |G                            |000.14986|+36.66877
 2536433| |Gaia DR3 4703237305087371392  |0|ROT                           | |  8.010| |G      | | |  8.040| |G       |              | | |                   | |G                            |000.16800|-69.67597
  416790|B|ASAS J000042-3113.8           |0|SR                            | |  8.470| |Ic     |Y| |  0.057| |Ic      | 2452443.40000| | |    28.740000000000| |                             |000.17412|-31.23008
     108|B|CG And                        |0|ACV                           | |  6.320| |V      | | |  6.420| |V       | 2441152.67000| | |     3.739750000000| |B9pSiEu                      |000.18179|+45.25333
 2536638| |Gaia DR3 2877044526819798400  |0|ACV|roAm|roAp|SXARI           | |  9.950| |G      | | | 10.010| |G       |              | | |     0.034164800000| |B                            |000.19607|+35.57866
 2536731| |Gaia DR3 394051949359063552   |0|ACV|roAm|roAp|SXARI           | |  9.880| |G      | | |  9.910| |G       |              | | |                   | |B                            |000.20957|+50.81404
  356060|B|CSTAR n159243                 |0|VAR                           | |  9.440| |i      |Y| |  0.040| |i       |              | | |     0.114436000000| |A4III                        |000.21204|-88.32831
 2536820| |Gaia DR3 384868411622502656   |0|DSCT|GDOR|SXPHE               | |  9.820| |G      | | |  9.870| |G       |              | | |     3.355620000000| |F                            |000.22152|+43.45429
     401|B|V0401 And                     |0|LB:                           | |  9.040| |Hp     | | |  9.140| |Hp      |              | | |                   | |M0                           |000.22821|+32.82567
 2537029| |Gaia DR3 429913654973050880   |0|BE|GCAS|SDOR|WR               | |  9.710| |G      | | |  9.790| |G       |              | | |                   | |B                            |000.24599|+62.08143
 2537067| |Gaia DR3 2854774262396590080  |0|ROT                           | |  9.370| |G      | | |  9.410| |G       |              | | |                   | |K                            |000.25242|+27.88633
 2537196| |Gaia DR3 2339837370419833216  |0|ROT                           | |  9.030| |G      | | |  9.060| |G       |              | | |                   | |K                            |000.26736|-23.44034
 2537375| |Gaia DR3 2873774579239061760  |0|ROT                           | |  9.890| |G      | | |  9.920| |G       |              | | |                   | |G                            |000.29220|+32.07741
 2537463| |Gaia DR3 422768169419715456   |0|DSCT|GDOR|SXPHE               | |  9.600| |G      | | |  9.630| |G       |              | | |     1.992330000000| |B                            |000.30358|+58.66705
    6378|B|WZ Cas                        |0|SRB                           | |  6.800| |V      | | |  7.700| |V       |              | | |   186.000000000000| |C9,2JLi(N1p)                 |000.31608|+60.35528
   53424|B|EZ Tuc                        |0|HADS(B)                       | |  9.650| |V      | | | 10.170| |V       | 2456809.87000| | |     0.122071000000| |A8V                          |000.31761|-60.61587
  305037|B|HIP 102                       |0|VAR                           | |  7.050| |V      |Y| |  0.007| |V       |              | | |    13.182180000000| |M1III                        |000.32050|-41.48740
   73333|B|ASAS J000118-3551.7           |0|MISC                          | |  9.840| |V      |Y| |  0.350| |V       | 2451916.30000| | |    25.670000000000| |                             |000.32488|-35.86075
 1546397| |WASP-136                      |0|EP                            | |  9.970| |V      |Y| |  0.004| |V       | 2456776.90620| | |     5.215357000000| |F5V                          |000.32575|-08.92629
   64630|B|NSV 26195                     |1|                              | |  5.600| |Hp     | | |  5.650| |Hp      |              | | |                   | |M2III                        |000.33375|-50.33750
   73335|B|ASAS J000120-5834.8           |0|MISC                          | |  9.530| |V      |Y| |  0.330| |V       | 2451969.20000| | |    53.600000000000| |                             |000.33463|-58.58028
   26536|B|DR Psc                        |0|DSCTC                         | |  7.290| |Hp     | | |  7.330| |Hp      | 2448500.07800| | |     0.165249100000| |F0                           |000.34658|+06.79147
   64631|B|NSV 26196                     |1|VAR:                          | |  8.290| |V      | | |  8.350| |V       |              | | |                   | |B2ne                         |000.34833|+60.35528
   64646|B|NSVS J0001290+314726          |0|L:                            | |  9.520| |R1     |Y| |  0.343| |R1      |              | | |    88.000000000000| |                             |000.37078|+31.79068
   64632|B|NSV 26197                     |1|VAR:                          | |  5.550| |V      | | |       | |        |              | | |                   | |A8III                        |000.40417|+61.22278
 2538241| |Gaia DR3 429341153012514176   |0|BCEP                          | |  8.390| |G      | | |  8.430| |G       |              | | |                   | |B                            |000.41098|+60.44992
 2538258| |Gaia DR3 530813569303529600   |0|ACV|roAm|roAp|SXARI           | |  9.780| |G      | | |  9.800| |G       |              | | |                   | |B                            |000.41334|+70.09873
  415255|B|ASAS J000141-5815.0           |0|SR                            | |  8.678| |Ic     |Y| |  0.051| |Ic      | 2452493.90000| | |    34.660000000000| |                             |000.41923|-58.24923
 2538328| |Gaia DR3 396275196228498432   |0|DSCT|GDOR|SXPHE               | |  9.860| |G      | | |  9.920| |G       |              | | |     5.395200000000| |B                            |000.42623|+53.71014
 2538339| |Gaia DR3 395712727311037696   |0|ROT                           | |  9.070| |G      | | |  9.130| |G       |              | | |                   | |K                            |000.42776|+52.21399
  555639|B|TYC 4018-201-1                |0|SRB                           | |  9.910| |V      | | | 10.150| |V       | 2457677.70000| | |    37.970000000000| |                             |000.43421|+62.18992
 2538434| |Gaia DR3 396126036300977664   |0|DSCT|GDOR|SXPHE               | |  9.270| |G      | | |  9.300| |G       |              | | |     2.591460000000| |A                            |000.44099|+52.77230
   64634|B|V0747 Cep                     |0|EA                            | |  9.970| |V      | | | 10.130| |V       | 2454400.53220| | |     5.331460000000| |O5.5V(n)((f))                |000.44529|+67.50697
   53426|B|NSV 14802                     |1|                              | |  7.900| |pg     | | |  8.500| |pg      |              | | |                   | |F5                           |000.45542|+65.45500
   53428|B|NSV 14804                     |2|                              | |  5.110| |V      | | |       | |        |              | | |                   | |B8                           |000.45583|-03.02750
   26448|B|YY Psc                        |0|SR                            | |  4.310| |V      | | |  4.410| |V       |              | | |                   | |M3III                        |000.49006|-06.01407
   26494|B|BU Psc                        |0|GDOR                          | |  6.930| |V      |Y| |  0.008| |V       | 2453700.17200| | |     0.543200000000| |A9V                          |000.51091|-02.76617
