# name, focal length (mm), apparent field of view (degrees), Eye Relief (mm)
Astro-Tech 22mm,22,70, 
Astro-Tech 40mm,40,68,
E-Lux Plossl 26mm,26,56, 
E-Lux Plossl 32mm,32,56, 
E-Lux Plossl 40mm,40,50, 
SWA 26mm Reticle,26,70, 
TeleVue Nagler 31mm,31,82,19
TeleVue Plossl 55mm,55,50,38
TeleVue Plossl 40mm,40,50,38
TeleVue Plossl 32mm,32,50,38
TeleVue Plossl 25mm,25,50,38
TeleVue Plossl 20mm,20,50,38
TeleVue Plossl 15mm,15,50,38
TeleVue Plossl 11mm,11,50,38
TeleVue Plossl 8mm,8,50,38
TeleVue Plossl 5mm,5,50,38
