#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-08-04T19:12:27 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-08-04T19:12:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-out.add=_r&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VII/20/catalog&-order=I&-out=Sh2&-out=GlLund&-out=GbLund&-out=GLon&-out=GLat&-out=RA1900&-out=DE1900&-out=Diam&-out=Form&-out=Struct&-out=Bright&-out=Stars&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7020
#Name: VII/20
#Title: Catalogue of HII Regions (Sharpless 1959)
#INFO	ivoid=ivo://cds.vizier/vii/20	    IVOID of underlying data collection
#INFO	creator=Sharpless S.	    First author or institution
#INFO	cites=bibcode:1959ApJS....4..257S	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=1959	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/20	    Dataset landing page
#INFO	publication_date=1998-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1900:	eq_FK4 B1900
#Table	VII_20_catalog:
#Name: VII/20/catalog
#Title: The Sharpless (Sh 2) Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Sh2	(I4)	[1/313]+ Sharpless HII catalog number	[ucd=meta.id;meta.main]
#Column	GlLund	(F5.1)	[0/3600[ Galactic longitude based on Lund pole	[ucd=pos.galactic.lon]
#Column	GbLund	(F5.1)	[-900/+900] Galactic latitude based on Lund pole	[ucd=pos.galactic.lat]
#Column	GLon	(F5.1)	[0/3600[ Galactic longitude (1)	[ucd=pos.galactic.lon]
#Column	GLat	(F5.1)	[-900/+900] Galactic latitude (1)	[ucd=pos.galactic.lat]
#Column	RA1900	(A10)	Hours RA, 1900.0	[ucd=pos.eq.ra;meta.main]
#Column	DE1900	(A9)	Sign Dec, 1900.0	[ucd=pos.eq.dec;meta.main]
#Column	Diam	(I4)	Maximun angular diameter of H II region	[ucd=phys.angSize;src]
#Column	Form	(I1)	[1/3] Classification as to form: 1=circular; 2=elliptical; 3=irregular	[ucd=src.class]
#Column	Struct	(I1)	[1/3] Classification as to structure, from 1=amorphous to 3=filamentary	[ucd=meta.code;src.morph]
#Column	Bright	(I1)	[1/3] Classification as to brightness, from 1=faintest to 3=brightest	[ucd=src.class]
#Column	Stars	(I2)	Number of associated stars with the H II region	[ucd=meta.number]
_RAJ2000,_DEJ2000,Sh2,GlLund,GbLund,GLon,GLat,RA1900,DE1900,Diam,Form,Struct,Bright,Stars
deg,deg, ,deg,deg,deg,deg,"h:m:s","d:m:s",arcmin, , , ,
----------,----------,----,-----,-----,-----,-----,----------,---------,----,-,-,-,--
239.713366,-26.120520,   1,315.2, 19.0,347.2, 20.2,15 52 48.0,-25 50 00, 150,3,2,3, 1
256.027602,-38.142490,   2,315.3,  0.7,347.6,  2.0,16 57 18.0,-38 00 00,  60,3,2,2, 1
258.437642,-38.503106,   3,316.1, -1.0,348.4,  0.2,17 06 54.0,-38 23 00,  12,2,3,3, 0
259.953265,-39.338753,   4,316.1, -2.5,348.4, -1.2,17 12 54.0,-39 14 00,   5,2,3,3, 0
260.014460,-38.454770,   5,316.8, -2.0,349.1, -0.7,17 13 12.0,-38 21 00, 100,3,2,2, 9
258.767140,-37.116545,   6,317.4, -0.4,349.7,  0.8,17 08 18.0,-37 00 00,   4,3,2,3, 0
240.082349,-22.950642,   7,317.8, 21.0,349.9, 22.3,15 54 24.0,-22 40 00, 240,3,2,1, 1
260.353529,-36.034691,   8,319.0, -0.9,351.3,  0.4,17 14 42.0,-35 56 00, 120,3,3,3, 4
245.295389,-25.589444,   9,319.2, 15.7,351.3, 17.0,16 15 06.0,-25 21 00,  80,3,2,2, 1
259.750056,-34.090316,  10,320.3,  0.6,352.6,  1.9,17 12 24.0,-33 59 00,  60,3,2,2, 1
261.628966,-34.205691,  11,321.1, -0.7,353.4,  0.6,17 19 54.0,-34 07 00,  90,3,3,3, 2
263.984075,-32.599595,  12,323.5, -1.5,355.8, -0.2,17 29 24.0,-32 32 00, 120,1,2,2, 9
262.619000,-31.562676,  13,323.7,  0.0,356.0,  1.4,17 24 00.0,-31 29 00,  40,2,2,2, 1
262.576996,-30.262997,  14,324.8,  0.7,357.1,  2.1,17 23 54.0,-30 11 00,   2,3,1,2, 0
267.643312,-31.264091,  15,326.2, -3.5,358.6, -2.1,17 44 06.0,-31 14 00,  30,2,2,2, 3
266.967541,-29.303855,  16,327.6, -2.0,  0.0, -0.6,17 41 30.0,-29 16 00,  20,3,2,2, 0
266.536694,-28.858004,  17,327.8, -1.5,  0.1, -0.1,17 39 48.0,-28 49 00,  25,3,2,2, 0
267.191969,-29.251675,  18,327.8, -2.2,  0.1, -0.8,17 42 24.0,-29 13 00,   4,1,2,2, 0
267.340314,-29.116895,  19,328.0, -2.2,  0.3, -0.8,17 43 00.0,-29 05 00,  12,1,1,2, 0
267.309613,-28.667165,  20,328.3, -1.9,  0.7, -0.5,17 42 54.0,-28 38 00,  10,3,2,2, 0
267.912701,-28.894660,  21,328.4, -2.5,  0.7, -1.1,17 45 18.0,-28 52 00,   5,3,2,2, 0
268.765749,-25.036147,  22,332.1, -1.2,  4.4,  0.2,17 48 54.0,-25 01 00,  60,3,2,2, 5
243.352583, -8.372276,  23,332.2, 28.2,  4.3, 29.6,16 08 00.0,-08 07 00,  50,3,2,1, 0
242.765860, -7.077277,  24,333.0, 29.4,  5.1, 30.8,16 05 42.0,-06 49 00,  30,2,1,2, 0
271.358484,-24.394248,  25,333.8, -3.0,  6.2, -1.5,17 59 18.0,-24 24 00,  90,3,3,3,14
269.745959,-23.326526,  26,334.1, -1.2,  6.4,  0.3,17 52 54.0,-23 19 00,  20,3,2,1, 0
249.301709,-10.569733,  27,334.1, 22.1,  6.3, 23.6,16 31 42.0,-10 22 00, 480,3,2,2, 1
270.674025,-23.584187,  28,334.2, -2.0,  6.6, -0.6,17 56 36.0,-23 35 00,  40,1,2,1, 0
272.628815,-23.998547,  29,334.7, -3.8,  7.1, -2.4,18 04 24.0,-24 01 00,  40,3,2,2, 3
270.892483,-23.015365,  30,334.8, -1.9,  7.2, -0.5,17 57 30.0,-23 01 00,  20,3,3,3, 1
272.826450,-23.796616,  31,335.0, -3.9,  7.3, -2.4,18 05 12.0,-23 49 00,   8,1,1,2, 1
272.724732,-23.647595,  32,335.1, -3.7,  7.4, -2.3,18 04 48.0,-23 40 00,   8,1,2,2, 2
239.968230, -1.617448,  33,336.2, 34.9,  8.3, 36.3,15 54 42.0,-01 20 00,  35,3,2,1, 0
271.602081,-21.658393,  34,336.3, -1.6,  8.7, -0.4,18 00 24.0,-21 40 00,  90,3,2,2, 1
273.961233,-20.252068,  35,338.6, -3.1, 11.0, -1.6,18 09 54.0,-20 17 00,  20,3,1,2, 5
241.376397, +0.394481,  36,339.2, 34.9, 11.4, 36.3,16 00 24.0,+00 40 00,  45,1,2,1, 0
274.429700,-19.664158,  37,339.4, -3.2, 11.7, -1.8,18 11 48.0,-19 42 00,  20,3,2,2, 3
272.189772,-18.269167,  38,339.6, -0.7, 11.9,  0.8,18 02 54.0,-18 17 00,   3,3,2,1, 0
274.193705,-18.649727,  39,340.2, -2.5, 12.5, -1.1,18 10 54.0,-18 41 00,   3,3,1,2, 0
273.009094,-17.744513,  40,340.4, -1.1, 12.7,  0.3,18 06 12.0,-17 46 00,  15,3,2,2, 0
